# variances: var_g = 4.85771e-02 ;  cov_gk = 5.81613e-04 ;  var_k_correlated = 8.96469e-06 ;  var_k_uncorrelated = 4.05325e-05
# shift params: lambda_g = 1.46148e+00 ;  lambda_k_correlated = 2.44045e-02 ;  lambda_k_uncorrelated = 5.73463e-02
# ell          C_gg(ell)          C_gk(ell)          C_kk_correlated(ell)          C_kk_uncorrelated(ell)
347    3.54952e-06    4.25035e-08    6.43973e-10    2.98482e-09
348    3.53195e-06    4.23018e-08    6.41243e-10    2.97349e-09
349    3.51448e-06    4.21014e-08    6.38537e-10    2.96224e-09
350    3.49713e-06    4.19022e-08    6.35853e-10    2.95107e-09
351    3.47990e-06    4.17043e-08    6.33192e-10    2.93996e-09
352    3.46281e-06    4.15078e-08    6.30552e-10    2.92893e-09
353    3.44584e-06    4.13128e-08    6.27934e-10    2.91797e-09
354    3.42902e-06    4.11192e-08    6.25336e-10    2.90708e-09
355    3.41234e-06    4.09271e-08    6.22760e-10    2.89627e-09
356    3.39582e-06    4.07366e-08    6.20204e-10    2.88552e-09
357    3.37945e-06    4.05477e-08    6.17667e-10    2.87485e-09
358    3.36324e-06    4.03603e-08    6.15150e-10    2.86424e-09
359    3.34720e-06    4.01746e-08    6.12653e-10    2.85370e-09
360    3.33133e-06    3.99906e-08    6.10174e-10    2.84323e-09
361    3.31562e-06    3.98082e-08    6.07713e-10    2.83283e-09
362    3.30009e-06    3.96276e-08    6.05271e-10    2.82250e-09
363    3.28474e-06    3.94487e-08    6.02846e-10    2.81223e-09
364    3.26957e-06    3.92715e-08    6.00439e-10    2.80203e-09
365    3.25458e-06    3.90961e-08    5.98048e-10    2.79190e-09
366    3.23977e-06    3.89224e-08    5.95675e-10    2.78183e-09
367    3.22515e-06    3.87505e-08    5.93317e-10    2.77183e-09
368    3.21070e-06    3.85804e-08    5.90976e-10    2.76189e-09
369    3.19645e-06    3.84120e-08    5.88650e-10    2.75202e-09
370    3.18237e-06    3.82454e-08    5.86340e-10    2.74221e-09
371    3.16848e-06    3.80805e-08    5.84044e-10    2.73247e-09
372    3.15477e-06    3.79174e-08    5.81764e-10    2.72279e-09
373    3.14124e-06    3.77560e-08    5.79498e-10    2.71317e-09
374    3.12788e-06    3.75963e-08    5.77246e-10    2.70362e-09
375    3.11471e-06    3.74384e-08    5.75008e-10    2.69412e-09
376    3.10171e-06    3.72821e-08    5.72785e-10    2.68469e-09
377    3.08888e-06    3.71275e-08    5.70574e-10    2.67532e-09
378    3.07622e-06    3.69746e-08    5.68377e-10    2.66601e-09
379    3.06373e-06    3.68232e-08    5.66193e-10    2.65676e-09
380    3.05140e-06    3.66735e-08    5.64022e-10    2.64757e-09
381    3.03923e-06    3.65254e-08    5.61863e-10    2.63844e-09
